Time,Open,High,Low,Close,Volume,Complete
2018-12-06 22:00:00+00:00,1.13739,1.14239,1.13603,1.13795,65511,True
2018-12-09 22:00:00+00:00,1.13922,1.14428,1.13506,1.13552,68420,True
2018-12-10 22:00:00+00:00,1.13544,1.14007,1.13062,1.1318,56356,True
2018-12-11 22:00:00+00:00,1.13164,1.13876,1.13148,1.13687,62390,True
2018-12-12 22:00:00+00:00,1.13695,1.13935,1.13312,1.13576,58567,True
2018-12-13 22:00:00+00:00,1.13612,1.1367,1.12701,1.13052,52626,True
2018-12-16 22:00:00+00:00,1.13028,1.13579,1.12998,1.13476,23879,True
2018-12-17 22:00:00+00:00,1.13476,1.14024,1.1337,1.1363,26001,True
2018-12-18 22:00:00+00:00,1.13652,1.14392,1.13618,1.13772,41716,True
2018-12-19 22:00:00+00:00,1.13758,1.14856,1.13696,1.14456,41035,True
2018-12-20 22:00:00+00:00,1.14475,1.14742,1.13561,1.13718,35475,True
2018-12-23 22:00:00+00:00,1.13728,1.14386,1.13614,1.14067,37197,True
2018-12-25 22:00:00+00:00,1.14067,1.14202,1.13432,1.13522,27378,True
2018-12-26 22:00:00+00:00,1.13536,1.14542,1.13524,1.14306,40601,True
2018-12-27 22:00:00+00:00,1.14296,1.14728,1.14274,1.14448,32071,True
2018-12-30 22:00:00+00:00,1.14372,1.14682,1.14216,1.14649,25151,True
2019-01-01 22:00:00+00:00,1.14649,1.1497,1.1325,1.13447,35508,True
2019-01-02 22:00:00+00:00,1.13431,1.14112,1.13091,1.13942,54135,True
2019-01-03 22:00:00+00:00,1.1393,1.1419,1.13458,1.13951,41022,True
2019-01-06 22:00:00+00:00,1.13974,1.14827,1.13972,1.14748,25648,True
2019-01-07 22:00:00+00:00,1.14773,1.14848,1.14219,1.14417,25474,True
2019-01-08 22:00:00+00:00,1.14417,1.15584,1.14364,1.15426,39158,True
2019-01-09 22:00:00+00:00,1.1542,1.15702,1.14846,1.15002,32717,True
2019-01-10 22:00:00+00:00,1.14996,1.15406,1.14582,1.14687,31499,True
2019-01-13 22:00:00+00:00,1.14609,1.1482,1.14508,1.14684,25568,True
2019-01-14 22:00:00+00:00,1.14684,1.14898,1.13822,1.1413,37543,True
2019-01-15 22:00:00+00:00,1.14114,1.14248,1.13779,1.13914,25310,True
2019-01-16 22:00:00+00:00,1.1394,1.1406,1.13702,1.13892,25488,True
2019-01-17 22:00:00+00:00,1.13884,1.14104,1.13532,1.1362,22898,True
2019-01-20 22:00:00+00:00,1.13616,1.13914,1.13569,1.13658,17356,True
2019-01-21 22:00:00+00:00,1.13672,1.13738,1.1336,1.13596,20469,True
2019-01-22 22:00:00+00:00,1.13606,1.13946,1.13508,1.13807,20044,True
2019-01-23 22:00:00+00:00,1.13811,1.13915,1.12894,1.1305,39217,True
2019-01-24 22:00:00+00:00,1.13034,1.14176,1.13004,1.14057,31133,True
2019-01-27 22:00:00+00:00,1.14016,1.14439,1.13904,1.14262,20895,True
2019-01-28 22:00:00+00:00,1.14292,1.14502,1.14113,1.14328,26093,True
2019-01-29 22:00:00+00:00,1.14318,1.15018,1.14063,1.148,29910,True
2019-01-30 22:00:00+00:00,1.148,1.15144,1.1436,1.14474,23932,True
2019-01-31 22:00:00+00:00,1.14478,1.14884,1.14345,1.14562,20845,True
2019-02-03 22:00:00+00:00,1.14521,1.14603,1.14244,1.14376,14438,True
2019-02-04 22:00:00+00:00,1.14376,1.14404,1.14011,1.14042,14734,True
2019-02-05 22:00:00+00:00,1.1405,1.14096,1.13608,1.13618,14020,True
2019-02-06 22:00:00+00:00,1.13638,1.13689,1.13247,1.13394,14822,True
2019-02-07 22:00:00+00:00,1.13402,1.13509,1.13212,1.13224,12190,True
2019-02-10 22:00:00+00:00,1.13202,1.133,1.12674,1.12756,13044,True
2019-02-11 22:00:00+00:00,1.12767,1.13397,1.12578,1.1326,12874,True
2019-02-12 22:00:00+00:00,1.13264,1.13415,1.12602,1.12607,15439,True
2019-02-13 22:00:00+00:00,1.12602,1.13097,1.12493,1.12954,21092,True
2019-02-14 22:00:00+00:00,1.12948,1.13061,1.12343,1.12946,17353,True
2019-02-17 22:00:00+00:00,1.12926,1.13338,1.12896,1.13106,9514,True
2019-02-18 22:00:00+00:00,1.13118,1.13576,1.12756,1.13406,17461,True
2019-02-19 22:00:00+00:00,1.13419,1.13712,1.1325,1.1337,18772,True
2019-02-20 22:00:00+00:00,1.13378,1.13664,1.13204,1.13343,21729,True
2019-02-21 22:00:00+00:00,1.13385,1.13556,1.13162,1.13342,14898,True
2019-02-24 22:00:00+00:00,1.13359,1.13675,1.13286,1.13574,13830,True
2019-02-25 22:00:00+00:00,1.13616,1.14028,1.13453,1.13892,17286,True
2019-02-26 22:00:00+00:00,1.13894,1.14036,1.13624,1.13695,16900,True
2019-02-27 22:00:00+00:00,1.13673,1.14197,1.13596,1.13706,20344,True
2019-02-28 22:00:00+00:00,1.13706,1.14086,1.13532,1.13648,17278,True
2019-03-03 22:00:00+00:00,1.13828,1.13831,1.13092,1.13398,13541,True
